               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12276,            0.076456,            0.055374,           0.0010271,             0.18401,           0.0011444,          0.00024556,             0.11703,            0.043659,            0.053902,              0.0937,              0.0007,              0.0007
                   1,             0.10663,            0.063583,            0.047013,           0.0042446,              0.4578,            0.012021,           0.0026283,             0.10037,            0.036541,            0.042435,            0.086498,           0.0014975,           0.0014975
                   2,            0.092234,            0.064662,            0.035993,             0.29954,            0.041613,            0.056641,            0.013769,            0.091309,            0.035019,            0.031162,            0.079292,           0.0022924,           0.0022924
                   3,            0.081771,             0.06759,            0.030745,             0.08302,             0.18793,            0.081635,            0.024416,            0.088509,            0.032536,            0.027821,            0.072085,           0.0030847,           0.0030847
                   4,            0.076001,            0.061996,            0.028133,             0.11714,              0.3251,             0.13507,            0.045439,            0.079496,            0.032576,            0.024588,            0.064874,           0.0038743,           0.0038743
                   5,            0.072099,            0.060893,            0.024017,             0.18922,             0.28512,             0.18968,            0.066987,            0.072566,            0.034149,             0.02227,            0.057661,           0.0046612,           0.0046612
                   6,            0.069658,            0.059428,            0.022684,             0.25109,               0.397,             0.23061,            0.075164,            0.070809,            0.031998,            0.018814,            0.050446,           0.0054456,           0.0054456
                   7,            0.068684,            0.055774,            0.019787,             0.23313,              0.4137,             0.25981,             0.10598,            0.064655,            0.031889,            0.017344,            0.043227,           0.0062272,           0.0062272
                   8,            0.066954,            0.054805,            0.018328,             0.21176,             0.44513,             0.27691,             0.10335,             0.06712,            0.031345,            0.016557,            0.036006,           0.0070063,           0.0070063
                   9,            0.066287,            0.054408,            0.017862,             0.23651,             0.49377,             0.27306,             0.10711,            0.067341,            0.031094,            0.014008,            0.028783,           0.0077827,           0.0077827
                  10,            0.064131,            0.049954,            0.015738,             0.25052,             0.52468,             0.38001,             0.14393,            0.057134,            0.034395,            0.011358,            0.021556,           0.0085565,           0.0085565
                  11,            0.064803,            0.050711,            0.014311,             0.27462,             0.52394,              0.3535,             0.14516,            0.064306,            0.029371,            0.010569,            0.014328,           0.0093276,           0.0093276
                  12,            0.060633,             0.04802,             0.01372,             0.32063,             0.56014,             0.40215,             0.17138,            0.059066,            0.031317,           0.0086918,            0.009802,            0.009802,            0.009802
                  13,            0.060775,            0.049884,            0.011971,             0.33114,             0.56247,             0.40848,             0.18965,            0.056054,            0.032066,            0.011038,            0.009802,            0.009802,            0.009802
                  14,             0.05824,            0.047583,            0.010613,             0.28545,             0.62328,              0.4047,             0.17115,            0.061443,            0.031603,           0.0065203,           0.0097855,           0.0097855,           0.0097855
                  15,            0.054887,             0.04751,           0.0098885,             0.50036,              0.5303,             0.50916,             0.21226,            0.053405,            0.029028,           0.0059395,            0.009769,            0.009769,            0.009769
                  16,            0.054116,            0.047845,           0.0089777,             0.45154,             0.50926,             0.49032,             0.23979,             0.06028,            0.029137,           0.0075045,           0.0097525,           0.0097525,           0.0097525
                  17,            0.052138,            0.045152,            0.007121,             0.43685,             0.59505,             0.49283,              0.2464,             0.05184,            0.031397,           0.0061383,            0.009736,            0.009736,            0.009736
                  18,             0.05073,            0.045366,           0.0076952,             0.47331,             0.62245,             0.57229,             0.26484,            0.048065,            0.027277,           0.0057449,           0.0097195,           0.0097195,           0.0097195
                  19,            0.050624,            0.046378,            0.007751,             0.47643,             0.57014,             0.48071,             0.21482,             0.05211,             0.02924,            0.019429,            0.009703,            0.009703,            0.009703
                  20,            0.048437,            0.045139,           0.0071312,             0.45431,             0.65554,             0.58357,             0.28025,             0.05027,            0.028948,           0.0065503,           0.0096865,           0.0096865,           0.0096865
                  21,            0.047434,              0.0439,           0.0065219,              0.5762,             0.63127,             0.63032,             0.30081,            0.048851,              0.0256,           0.0059338,             0.00967,             0.00967,             0.00967
                  22,            0.047159,            0.044883,           0.0070655,             0.60854,              0.5724,             0.64665,              0.3271,            0.047774,            0.026316,           0.0094213,           0.0096535,           0.0096535,           0.0096535
                  23,             0.04592,            0.043824,           0.0061002,             0.52897,             0.63821,             0.62932,             0.29918,            0.049776,            0.029125,           0.0060039,            0.009637,            0.009637,            0.009637
                  24,            0.045689,            0.043785,           0.0062117,             0.51045,             0.67372,             0.64062,             0.31902,             0.04538,            0.028444,           0.0056763,           0.0096205,           0.0096205,           0.0096205
                  25,            0.044419,            0.044307,           0.0054232,             0.46038,             0.68087,             0.63083,             0.32616,            0.046057,            0.025257,           0.0056033,            0.009604,            0.009604,            0.009604
                  26,            0.044307,            0.043183,           0.0060518,             0.62395,              0.5771,             0.61186,             0.28736,            0.047178,            0.029394,           0.0096645,           0.0095875,           0.0095875,           0.0095875
                  27,             0.04424,            0.043048,           0.0052275,             0.63681,             0.63758,             0.69586,             0.38908,            0.046545,            0.027317,           0.0045404,            0.009571,            0.009571,            0.009571
                  28,            0.042684,            0.044635,           0.0053002,             0.58191,             0.76767,              0.7248,             0.40111,            0.042012,            0.027225,           0.0044303,           0.0095545,           0.0095545,           0.0095545
                  29,            0.043611,            0.045551,           0.0052023,             0.50628,             0.67146,             0.60834,             0.29108,             0.04599,            0.027798,           0.0060883,            0.009538,            0.009538,            0.009538
                  30,            0.042245,            0.044466,           0.0050455,             0.69385,             0.64231,             0.70502,             0.36388,            0.046806,            0.026201,           0.0053558,           0.0095215,           0.0095215,           0.0095215
                  31,            0.042348,            0.042685,            0.005598,             0.61814,             0.74352,             0.72608,             0.39137,            0.041555,            0.026087,           0.0052371,            0.009505,            0.009505,            0.009505
                  32,            0.042023,            0.042183,           0.0049495,             0.69857,             0.36181,             0.47418,             0.24706,            0.053692,            0.036953,            0.015584,           0.0094885,           0.0094885,           0.0094885
                  33,            0.042239,            0.041685,           0.0054683,             0.66114,              0.7324,             0.75254,             0.39911,            0.045737,            0.027958,           0.0047393,            0.009472,            0.009472,            0.009472
                  34,            0.041294,            0.043042,           0.0049172,             0.54561,             0.72619,             0.70721,             0.39361,            0.044197,            0.026894,           0.0048323,           0.0094555,           0.0094555,           0.0094555
                  35,            0.040253,            0.040543,           0.0044397,              0.6644,             0.64811,              0.6712,             0.36962,            0.042849,            0.032799,           0.0070295,            0.009439,            0.009439,            0.009439
                  36,            0.040692,            0.043386,           0.0043003,             0.81383,             0.60375,             0.72526,             0.37076,            0.039981,            0.024239,           0.0054832,           0.0094225,           0.0094225,           0.0094225
                  37,            0.040035,            0.041357,           0.0042973,             0.53724,             0.75256,             0.67097,             0.36299,             0.04054,            0.027065,           0.0050597,            0.009406,            0.009406,            0.009406
                  38,            0.041609,            0.041582,           0.0042652,             0.66396,             0.72399,             0.76704,             0.44979,             0.04101,            0.024799,           0.0044146,           0.0093895,           0.0093895,           0.0093895
                  39,            0.038912,            0.040736,           0.0044976,             0.70503,             0.70952,             0.76109,             0.45316,            0.038348,            0.026247,           0.0050483,            0.009373,            0.009373,            0.009373
                  40,            0.040388,            0.041657,           0.0046584,             0.82615,             0.57556,             0.71226,             0.41729,             0.04455,            0.027185,           0.0059209,           0.0093565,           0.0093565,           0.0093565
                  41,            0.040219,            0.041411,           0.0044538,             0.76808,             0.68172,             0.80262,             0.46524,            0.037889,            0.025154,           0.0043287,             0.00934,             0.00934,             0.00934
                  42,            0.038122,            0.040473,           0.0042954,              0.7648,             0.57102,              0.6892,             0.39166,            0.041173,            0.029697,           0.0056934,           0.0093235,           0.0093235,           0.0093235
                  43,            0.039082,            0.040739,           0.0037018,             0.60722,             0.71884,             0.71873,             0.43005,            0.040606,            0.024622,           0.0052071,            0.009307,            0.009307,            0.009307
                  44,            0.039241,            0.043128,           0.0044954,             0.73936,             0.65803,             0.73123,             0.42599,            0.039165,            0.023935,           0.0047836,           0.0092905,           0.0092905,           0.0092905
                  45,            0.039715,            0.041934,           0.0044229,              0.6304,             0.58281,             0.60414,             0.31693,            0.045971,            0.029812,            0.010511,            0.009274,            0.009274,            0.009274
                  46,            0.038761,            0.042115,           0.0040475,             0.75249,              0.6712,              0.7667,             0.41614,            0.042121,            0.026436,           0.0048351,           0.0092575,           0.0092575,           0.0092575
                  47,            0.038396,            0.041915,           0.0035878,             0.58615,             0.50314,             0.51926,             0.27425,            0.047584,            0.032719,            0.015621,            0.009241,            0.009241,            0.009241
                  48,            0.038096,            0.042508,           0.0043611,             0.68585,             0.73484,             0.77787,             0.43558,            0.039592,             0.02417,           0.0060453,           0.0092245,           0.0092245,           0.0092245
                  49,            0.037659,            0.042837,           0.0039594,             0.71584,             0.70078,             0.78114,             0.45303,            0.038941,            0.024937,           0.0048151,            0.009208,            0.009208,            0.009208
                  50,            0.037839,            0.039534,           0.0042994,             0.81631,             0.65954,             0.79563,              0.4314,            0.040131,            0.024433,           0.0052471,           0.0091915,           0.0091915,           0.0091915
                  51,            0.037507,            0.039537,           0.0034388,             0.80172,             0.54819,             0.68987,             0.38351,            0.040851,            0.028433,           0.0062814,            0.009175,            0.009175,            0.009175
                  52,            0.037816,            0.039764,           0.0038579,             0.62547,             0.73378,             0.73528,             0.39923,            0.042495,            0.023792,           0.0050182,           0.0091585,           0.0091585,           0.0091585
                  53,            0.037284,             0.03955,           0.0031766,             0.69228,             0.70412,             0.75075,             0.44957,            0.038874,            0.026962,           0.0071912,            0.009142,            0.009142,            0.009142
                  54,            0.037692,            0.039328,           0.0035612,             0.71801,             0.79781,             0.81865,             0.46112,            0.036194,            0.025114,           0.0056176,           0.0091255,           0.0091255,           0.0091255
                  55,            0.036615,            0.040087,           0.0040626,             0.55367,             0.53534,              0.5605,             0.28164,            0.047549,            0.032948,            0.016843,            0.009109,            0.009109,            0.009109
                  56,            0.037499,            0.040294,           0.0034687,             0.65804,             0.70857,             0.74723,             0.43434,            0.039595,            0.025509,           0.0051069,           0.0090925,           0.0090925,           0.0090925
                  57,             0.03626,             0.03886,           0.0032547,             0.69992,             0.69239,             0.74903,             0.41664,            0.040332,            0.024673,           0.0069752,            0.009076,            0.009076,            0.009076
                  58,            0.035455,            0.039653,           0.0039146,             0.72338,             0.71883,             0.77483,             0.46878,            0.040776,             0.02433,            0.004622,           0.0090595,           0.0090595,           0.0090595
                  59,             0.03628,            0.038006,           0.0037111,             0.79551,             0.68842,             0.79925,             0.46473,            0.037958,            0.024176,            0.004343,            0.009043,            0.009043,            0.009043
                  60,            0.036537,            0.039116,           0.0035961,             0.68506,             0.80804,             0.81735,             0.49329,             0.03596,            0.024061,           0.0060339,           0.0090265,           0.0090265,           0.0090265
                  61,             0.03651,            0.039311,           0.0035901,             0.71044,             0.81649,             0.81896,             0.48559,            0.037371,            0.023054,           0.0045333,             0.00901,             0.00901,             0.00901
                  62,            0.036189,            0.040812,           0.0037049,             0.67687,             0.80003,             0.78145,             0.44771,            0.036882,             0.02393,           0.0046935,           0.0089935,           0.0089935,           0.0089935
                  63,            0.036036,            0.039841,           0.0037387,             0.67842,             0.76297,             0.78703,             0.45255,            0.037247,            0.025829,           0.0049324,            0.008977,            0.008977,            0.008977
                  64,            0.035806,            0.038187,           0.0032062,             0.66001,             0.55402,             0.62204,             0.34681,            0.041768,            0.030785,            0.014065,           0.0089605,           0.0089605,           0.0089605
                  65,            0.035945,            0.040637,           0.0036895,             0.70551,             0.77464,              0.8143,              0.4918,            0.036722,            0.024748,           0.0044818,            0.008944,            0.008944,            0.008944
                  66,            0.036455,             0.03997,           0.0033591,             0.67424,             0.63753,             0.68245,             0.39804,            0.039036,            0.028851,            0.011842,           0.0089275,           0.0089275,           0.0089275
                  67,             0.03529,            0.040919,           0.0033979,             0.72419,             0.70063,             0.77457,             0.44832,            0.037546,            0.024942,           0.0066004,            0.008911,            0.008911,            0.008911
                  68,            0.035457,            0.038643,             0.00308,             0.68859,             0.59328,             0.67529,             0.39965,             0.04048,            0.031357,           0.0063257,           0.0088945,           0.0088945,           0.0088945
                  69,            0.034862,            0.037996,           0.0032266,             0.82403,              0.6389,             0.77444,             0.44023,            0.038994,             0.02532,           0.0057292,            0.008878,            0.008878,            0.008878
                  70,            0.034324,            0.038404,           0.0041706,             0.68668,             0.66729,             0.72741,             0.41875,            0.038624,            0.026424,           0.0064631,           0.0088615,           0.0088615,           0.0088615
                  71,            0.034502,            0.038885,           0.0033644,             0.69597,             0.71014,             0.72387,             0.40566,            0.040756,            0.025412,           0.0074644,            0.008845,            0.008845,            0.008845
                  72,            0.034473,            0.039823,           0.0026969,              0.6747,             0.79389,              0.7742,             0.43834,            0.036621,            0.024359,              0.0053,           0.0088285,           0.0088285,           0.0088285
                  73,            0.034746,            0.039805,           0.0025913,             0.71692,             0.69802,             0.74563,             0.41806,            0.038025,             0.02924,            0.005805,            0.008812,            0.008812,            0.008812
                  74,            0.034643,             0.03725,           0.0032089,             0.72205,             0.72945,             0.77413,             0.46884,            0.037496,            0.024582,           0.0046191,           0.0087955,           0.0087955,           0.0087955
                  75,            0.034641,            0.037361,           0.0033846,             0.68304,             0.76153,             0.76418,             0.46374,             0.03644,            0.024708,           0.0045462,            0.008779,            0.008779,            0.008779
                  76,            0.034707,            0.038345,           0.0031634,              0.7813,             0.72444,             0.81952,             0.54069,            0.032645,            0.023432,            0.004848,           0.0087625,           0.0087625,           0.0087625
                  77,            0.034154,            0.038902,           0.0034191,             0.62619,             0.68954,             0.71731,             0.42911,            0.038598,            0.026934,           0.0059166,            0.008746,            0.008746,            0.008746
                  78,            0.034385,            0.036255,           0.0032361,              0.7265,             0.77409,             0.80607,             0.50495,            0.035667,            0.024519,           0.0044689,           0.0087295,           0.0087295,           0.0087295
                  79,            0.034529,            0.038545,           0.0028799,             0.82817,             0.72939,             0.82968,             0.49655,             0.03454,            0.023277,           0.0042872,            0.008713,            0.008713,            0.008713
                  80,            0.034103,            0.038992,           0.0033849,             0.80708,             0.76462,             0.84818,             0.50056,             0.03428,            0.023306,           0.0041871,           0.0086965,           0.0086965,           0.0086965
                  81,            0.034542,            0.037871,           0.0028553,             0.80478,             0.74028,             0.85088,             0.51284,            0.034487,            0.024788,           0.0044575,             0.00868,             0.00868,             0.00868
                  82,            0.035085,            0.036629,           0.0032191,             0.77352,             0.72287,             0.80966,             0.49301,            0.036904,            0.026722,           0.0056748,           0.0086635,           0.0086635,           0.0086635
                  83,            0.033151,            0.037132,           0.0028229,              0.6989,             0.79417,             0.82992,             0.49805,            0.034745,            0.023214,           0.0050225,            0.008647,            0.008647,            0.008647
                  84,            0.033862,            0.038378,           0.0025384,             0.78718,             0.69813,             0.79506,             0.46054,            0.038472,            0.025223,            0.007576,           0.0086305,           0.0086305,           0.0086305
                  85,            0.033111,            0.037172,           0.0027474,             0.74352,             0.76751,             0.82653,             0.51966,            0.034025,            0.024118,           0.0046377,            0.008614,            0.008614,            0.008614
                  86,            0.033848,            0.037765,           0.0031134,             0.70255,             0.70817,             0.75494,             0.43992,            0.036728,            0.025738,           0.0066819,           0.0085975,           0.0085975,           0.0085975
                  87,            0.033634,            0.038002,           0.0026503,             0.73707,             0.67494,              0.7497,             0.44716,            0.036278,            0.024937,           0.0068107,            0.008581,            0.008581,            0.008581
                  88,            0.033043,            0.038723,           0.0033683,             0.76658,             0.70813,             0.78575,             0.48362,            0.037645,            0.025669,           0.0059166,           0.0085645,           0.0085645,           0.0085645
