               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.015432,             0.00783,          0.00063117,             0.88639,             0.92678,             0.94207,             0.66142,            0.024916,           0.0058327,           0.0052195,              0.0973,              0.0003,              0.0003
                   1,            0.020452,           0.0084795,          0.00051665,             0.88796,             0.93311,             0.93903,             0.75621,             0.02108,           0.0056229,           0.0052195,            0.093699,          0.00069885,          0.00069885
                   2,            0.019122,            0.008577,          0.00069244,             0.88334,             0.91822,             0.93803,             0.75907,            0.021033,           0.0056171,           0.0052519,            0.090096,           0.0010964,           0.0010964
                   3,             0.01878,            0.007617,           0.0007727,             0.88492,              0.9188,             0.93805,             0.74957,            0.022979,           0.0056934,           0.0052376,            0.086493,           0.0014926,           0.0014926
                   4,            0.018637,           0.0078645,          0.00040091,             0.88811,             0.93111,             0.93691,             0.70976,            0.023929,           0.0057564,           0.0052805,            0.082887,           0.0018875,           0.0018875
                   5,            0.019423,           0.0079535,          0.00042444,             0.88604,              0.9319,             0.93724,             0.72171,            0.023911,           0.0057592,            0.005168,            0.079281,            0.002281,            0.002281
                   6,            0.019374,           0.0079579,          0.00058893,             0.88882,             0.92246,             0.93711,             0.70664,            0.023484,           0.0057077,           0.0050125,            0.075673,           0.0026733,           0.0026733
                   7,            0.020196,            0.008114,          0.00055334,             0.89196,             0.92843,             0.93506,             0.73126,            0.023487,           0.0056925,            0.005043,            0.072064,           0.0030642,           0.0030642
                   8,            0.019996,           0.0081555,          0.00048606,             0.89064,             0.93096,             0.93478,             0.71673,            0.023745,           0.0056915,           0.0051041,            0.068454,           0.0034538,           0.0034538
                   9,            0.020503,           0.0083086,          0.00068421,             0.93288,             0.87796,             0.93429,             0.71177,            0.023976,           0.0057468,            0.004982,            0.064842,           0.0038421,           0.0038421
                  10,            0.021175,           0.0083472,          0.00059827,              0.8883,             0.93136,             0.93358,             0.72552,            0.023748,           0.0056906,           0.0048237,            0.061229,            0.004229,            0.004229
                  11,            0.020812,           0.0077897,          0.00069215,             0.88768,             0.92862,             0.93124,             0.70805,            0.023553,           0.0057344,           0.0048018,            0.057615,           0.0046147,           0.0046147
                  12,            0.021324,            0.008216,          0.00072337,             0.92318,             0.87765,             0.92494,             0.71603,            0.023679,           0.0057497,           0.0047474,            0.053999,            0.004999,            0.004999
                  13,            0.021525,           0.0084173,          0.00060775,             0.91486,             0.88878,             0.92453,             0.69858,             0.02513,           0.0058651,           0.0046616,            0.050382,            0.005382,            0.005382
                  14,            0.021538,           0.0079374,          0.00077931,             0.92763,             0.87739,             0.92272,             0.68556,            0.025483,           0.0058146,           0.0044127,            0.046764,           0.0057637,           0.0057637
                  15,            0.021921,           0.0086445,          0.00071513,             0.91204,             0.90667,             0.92185,             0.68982,            0.024786,           0.0058794,           0.0048447,            0.043144,           0.0061441,           0.0061441
                  16,            0.022312,           0.0079987,          0.00070835,             0.91587,             0.91189,             0.92797,             0.70436,            0.024173,           0.0058699,           0.0052891,            0.039523,           0.0065231,           0.0065231
                  17,            0.022741,           0.0084534,          0.00059925,             0.91434,              0.9008,             0.92234,             0.70849,            0.023345,           0.0057611,           0.0054855,            0.035901,           0.0069008,           0.0069008
                  18,            0.023121,            0.008371,          0.00081274,             0.90449,             0.89891,             0.92392,             0.70568,            0.024076,           0.0057888,           0.0053978,            0.032277,           0.0072772,           0.0072772
