               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12234,            0.031911,              0.0516,           0.0014969,             0.28905,           0.0031483,          0.00090332,             0.11228,            0.016322,            0.046272,              0.0874,              0.0014,              0.0014
                   1,            0.098069,            0.024239,            0.037605,            0.068177,             0.17594,            0.044996,            0.014306,            0.085181,            0.014694,            0.030334,            0.073895,           0.0028952,           0.0028952
                   2,            0.075612,            0.026107,            0.030839,            0.064565,             0.12514,             0.10216,            0.034652,            0.067253,            0.014751,            0.026173,            0.060385,           0.0043855,           0.0043855
                   3,            0.064949,            0.026727,             0.02801,             0.37195,             0.31315,             0.16565,            0.051476,            0.067254,            0.013058,             0.02319,            0.046871,           0.0058708,           0.0058708
                   4,            0.060882,            0.023573,            0.024286,             0.21884,             0.24322,             0.15982,            0.055429,            0.065076,            0.011621,            0.025959,            0.033351,           0.0073512,           0.0073512
                   5,            0.058786,            0.020947,            0.020742,             0.30526,             0.33324,             0.31004,              0.1134,            0.058676,            0.011826,            0.021896,            0.019827,           0.0088266,           0.0088266
                   6,            0.057793,            0.019218,            0.018499,             0.45884,             0.27625,             0.23547,            0.086011,            0.066696,            0.011108,            0.016552,            0.009901,            0.009901,            0.009901
                   7,            0.053117,            0.017942,            0.016794,             0.56835,             0.34306,             0.35598,             0.15124,            0.051785,            0.012598,            0.015614,            0.009901,            0.009901,            0.009901
                   8,            0.050237,            0.016637,            0.015241,             0.35657,             0.50272,               0.372,             0.15793,            0.052867,            0.012596,            0.011591,           0.0098845,           0.0098845,           0.0098845
                   9,            0.048379,            0.016606,            0.013047,             0.53104,             0.43155,             0.46727,              0.2138,            0.048705,            0.012594,            0.012354,            0.009868,            0.009868,            0.009868
                  10,            0.046117,            0.016291,            0.011311,             0.53209,             0.54135,             0.55656,              0.2489,            0.048978,              0.0102,            0.011765,           0.0098515,           0.0098515,           0.0098515
                  11,            0.045392,            0.015295,           0.0095533,              0.6374,             0.57175,             0.60493,             0.28853,            0.045073,            0.010814,           0.0080357,            0.009835,            0.009835,            0.009835
                  12,              0.0454,            0.014937,           0.0082872,              0.5859,             0.69085,             0.67061,             0.30748,            0.042069,            0.010215,            0.010189,           0.0098185,           0.0098185,           0.0098185
                  13,            0.042557,            0.015298,           0.0073581,             0.67485,             0.61697,             0.68656,             0.33272,            0.044797,            0.010042,           0.0093784,            0.009802,            0.009802,            0.009802
                  14,            0.042281,            0.015611,           0.0073106,             0.76237,             0.24517,              0.3554,             0.17949,            0.048815,            0.018112,            0.034224,           0.0097855,           0.0097855,           0.0097855
                  15,            0.041553,            0.015387,           0.0070909,             0.60798,             0.68423,             0.63333,             0.31731,            0.042274,            0.009264,            0.010786,            0.009769,            0.009769,            0.009769
                  16,            0.039435,            0.014447,           0.0072022,             0.57947,             0.61587,             0.63515,             0.29082,             0.04386,            0.012228,            0.012598,           0.0097525,           0.0097525,           0.0097525
                  17,            0.039444,            0.014205,           0.0071677,             0.77385,              0.5765,             0.71507,             0.41009,             0.03855,           0.0089731,           0.0074062,            0.009736,            0.009736,            0.009736
                  18,            0.038868,            0.014888,           0.0064366,             0.75457,             0.45346,             0.56066,             0.28591,             0.03789,            0.011245,            0.032488,           0.0097195,           0.0097195,           0.0097195
                  19,            0.037993,            0.014717,           0.0057451,             0.71938,             0.80993,             0.79547,             0.44179,            0.038053,           0.0091686,            0.010729,            0.009703,            0.009703,            0.009703
                  20,             0.03749,            0.014091,           0.0066626,             0.69879,             0.73429,             0.72507,              0.3714,            0.037402,           0.0087404,           0.0084877,           0.0096865,           0.0096865,           0.0096865
                  21,            0.038043,            0.014283,            0.005231,             0.79835,             0.79699,             0.82707,             0.46284,            0.034433,           0.0080643,           0.0079536,             0.00967,             0.00967,             0.00967
                  22,            0.036376,            0.013569,            0.005858,             0.83772,             0.66847,             0.78045,             0.44752,            0.035654,            0.010344,           0.0083914,           0.0096535,           0.0096535,           0.0096535
                  23,             0.03652,             0.01442,           0.0054055,             0.77991,             0.83414,             0.87631,             0.50932,            0.033981,           0.0077724,           0.0059013,            0.009637,            0.009637,            0.009637
                  24,            0.036444,            0.013744,           0.0057572,             0.86795,             0.71977,              0.8158,             0.46289,            0.036674,           0.0089626,           0.0093765,           0.0096205,           0.0096205,           0.0096205
                  25,             0.03521,            0.013815,           0.0047555,             0.80283,             0.79172,             0.84842,              0.4978,            0.035178,           0.0089006,           0.0085411,            0.009604,            0.009604,            0.009604
                  26,            0.035171,            0.013325,            0.005438,             0.80455,             0.76541,             0.82994,             0.47526,            0.035412,           0.0095253,           0.0052567,           0.0095875,           0.0095875,           0.0095875
                  27,            0.035516,            0.014489,           0.0061269,             0.73093,             0.58233,             0.66672,             0.36822,            0.038412,            0.010537,            0.010127,            0.009571,            0.009571,            0.009571
                  28,            0.034827,            0.014159,           0.0048961,             0.82797,             0.79998,             0.84618,             0.50152,            0.033559,           0.0084772,           0.0063667,           0.0095545,           0.0095545,           0.0095545
                  29,            0.033772,            0.013071,           0.0053684,             0.85835,             0.69142,              0.8057,             0.49607,            0.034094,           0.0093079,            0.012102,            0.009538,            0.009538,            0.009538
